Núm,Projeto,Relator,Atribuído a,Prioridade,Gravidade,Freqüência,Versão do Produto,Categoria,Data de Envio,SO,Versão SO,Plataforma,Visibilidade,Atualizado,Resumo,Estado,Resolução,Corrigido na Versão
0003533,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,não se tentou,,asasasasa,2020-02-14,,,,público,2020-02-14,testando o card,novo,aberto,
0003531,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,Teste Patrick,2020-02-13,,,,público,2020-02-13,Sumário - QCDRBWISWW,novo,aberto,
0003530,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,General,2020-02-13,,,,público,2020-02-13,Sumário - YAEKZLHWZI,novo,aberto,
0003529,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,GB7066WS,2020-02-13,,,,público,2020-02-13,Sumário - FYCJEVNVYT,novo,aberto,
0003528,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,UX4245MX,2020-02-13,,,,público,2020-02-13,Sumário - WOWXEWTBJE,novo,aberto,
0003527,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,Teste Patrick,2020-02-13,,,,público,2020-02-13,Sumário - UIRRQBIBBQ,novo,aberto,
0003526,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,Apptest,2020-02-13,,,,público,2020-02-13,Sumário - WVLFUTBDPS,novo,aberto,
0003525,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,7EI2PODHPN,2020-02-13,,,,público,2020-02-13,Sumário - RHVCVWIUVD,novo,aberto,
0003524,Desafio jMeter Project 1,Treinamento13,,normal,travamento,sempre,,a,2020-02-12,,,,público,2020-02-12,Sistema trava ao emitir relatório,novo,aberto,
0003523,Desafio jMeter Project 1,Treinamento13,,normal,travamento,sempre,,a,2020-02-12,,,,público,2020-02-12,Sistema trava ao emitir relatório,novo,aberto,
0003522,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,ZF0874XN,2020-02-12,,,,público,2020-02-12,Sumário - PPRBIUFIMB,novo,aberto,
0003521,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,UX4245MX,2020-02-12,,,,público,2020-02-12,Sumário - ZECYUGDWSW,novo,aberto,
0003520,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,7EI2PODHPN,2020-02-12,,,,público,2020-02-12,Sumário - SHFVQLTCSR,novo,aberto,
0003519,Desafio jMeter Project 1,templateautomacao,emanuelle.menali,normal,pequeno,não se tentou,,Teste,2020-02-12,,,,público,2020-02-12,Sumário - KFWVPOJQCZ,atribuído,aberto,
0003518,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,ZF0874XN,2020-02-12,,,,público,2020-02-12,Sumário - QWMMJEEIEL,novo,aberto,
0003517,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,(Nenhuma Categoria),2020-02-12,,,,público,2020-02-12,Sumário - WHOYSWJQVE,novo,aberto,
0003516,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,PG9754ZM,2020-02-12,,,,público,2020-02-12,Sumário - CEHRHLNFKE,novo,aberto,
0003511,Desafio jMeter Project 1,templateautomacao,larissa.bicalho,normal,pequeno,não se tentou,,GB7066WS,2020-02-11,,,,público,2020-02-11,Sumário - WFFBJLHUEX,atribuído,aberto,
0003515,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,sempre,,(Nenhuma Categoria),2020-02-11,Windows,10,Desktop ,público,2020-02-11,resumo,novo,aberto,
0003514,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,sempre,,(Nenhuma Categoria),2020-02-11,Windows,10,Desktop ,público,2020-02-11,resumo,novo,aberto,
0003513,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,sempre,,(Nenhuma Categoria),2020-02-11,Windows,10,Desktop ,público,2020-02-11,resumo,novo,aberto,
0003512,Larissa Bicalho's Project,larissa.bicalho,,normal,pequeno,sempre,,(Nenhuma Categoria),2020-02-11,Windows,10,Desktop ,público,2020-02-11,resumo,novo,aberto,
0003506,Desafio jMeter Project 1,Treinamento02,,normal,pequeno,sempre,,app_14,2020-02-09,,,,público,2020-02-10,Teste automático do usuário Treinamento02,novo,aberto,
0003505,Desafio jMeter Project 1,templateautomacao,,normal,pequeno,não se tentou,,(Nenhuma Categoria),2020-02-07,,,,público,2020-02-07,Sumário - NIWBBJJBRY,novo,aberto,
0003496,Desafio jMeter Project 1,Treinamento09,,normal,trivial,sempre,,7EI2PODHPN,2020-01-28,,,,público,2020-01-28,8023821192,novo,aberto,
0003495,Desafio jMeter Project 1,Treinamento09,,normal,trivial,sempre,,7EI2PODHPN,2020-01-28,,,,público,2020-01-28,8636758149,novo,aberto,
0003494,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-27,,,,público,2020-01-27,deus3,novo,aberto,
0003493,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-27,,,,público,2020-01-27,deus4,novo,aberto,
0003492,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-27,,,,público,2020-01-27,deus1,novo,aberto,
0003491,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-27,,,,público,2020-01-27,deus6,novo,aberto,
0003490,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-27,,,,público,2020-01-27,deus3,novo,aberto,
0003489,Desafio jMeter Project 1,Treinamento09,,normal,trivial,sempre,,7EI2PODHPN,2020-01-27,,,,público,2020-01-27,2806149445,novo,aberto,
0003488,Desafio jMeter Project 1,Treinamento09,,normal,trivial,sempre,,7EI2PODHPN,2020-01-27,,,,público,2020-01-27,2708581216,novo,aberto,
0003487,Desafio jMeter Project 1,Treinamento04,,normal,texto,sempre,,HA8264LR,2020-01-27,,,,público,2020-01-27,preenchendo o resumo da pagina,novo,aberto,
0003486,Desafio jMeter Project 1,Treinamento08,,normal,recurso,sempre,,7EI2PODHPN,2020-01-26,,,,público,2020-01-26,Prática,novo,aberto,
0003485,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,deus4,novo,aberto,
0003484,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,deus8,novo,aberto,
0003483,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,deus1,novo,aberto,
0003482,Desafio jMeter Project 1,Treinamento09,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,9503561792,novo,aberto,
0003481,Desafio jMeter Project 1,Treinamento10,,normal,trivial,aleatório,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Treinamento10,novo,aberto,
0003480,Desafio jMeter Project 1,Treinamento11,emanuelle.menali,normal,obstáculo,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Resumo do chamado - Teste Treinamento 11 java.util.Random@22e357dc,atribuído,aberto,
0003479,Desafio jMeter Project 1,Treinamento12,emanuelle.menali,normal,recurso,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Teste Treinamento 12java.util.Random@47faa49c,atribuído,aberto,
0003478,Desafio jMeter Project 1,Treinamento10,,normal,trivial,aleatório,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Treinamento10,novo,aberto,
0003477,Desafio jMeter Project 1,Treinamento03,,normal,texto,sempre,,General,2020-01-25,,,,público,2020-01-25,Pratica Final 37536,novo,aberto,
0003476,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,deus41,novo,aberto,
0003475,Desafio jMeter Project 1,Treinamento08,,normal,recurso,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Prática,novo,aberto,
0003474,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,deus01,novo,aberto,
0003473,Desafio jMeter Project 1,Treinamento10,,normal,trivial,aleatório,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Treinamento10,novo,aberto,
0003472,Desafio jMeter Project 1,Treinamento02,,normal,pequeno,sempre,,app_14,2020-01-25,,,,público,2020-01-25,Teste automático do usuário Treinamento02,novo,aberto,
0003471,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,deus01,novo,aberto,
0003470,Desafio jMeter Project 1,Treinamento12,emanuelle.menali,normal,recurso,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Teste Praticojava.util.Random@47faa49c,atribuído,aberto,
0003469,Desafio jMeter Project 1,Treinamento14,emanuelle.menali,normal,grande,sempre,,Teste,2020-01-25,,,,público,2020-01-25,This is a summary.,atribuído,aberto,
0003468,Desafio jMeter Project 1,Treinamento07,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Treinamento Selenium,novo,aberto,
0003467,Desafio jMeter Project 1,Treinamento08,,normal,recurso,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Prática,novo,aberto,
0003466,Desafio jMeter Project 1,Treinamento02,,normal,pequeno,sempre,,app_14,2020-01-25,,,,público,2020-01-25,Teste automático do usuário Treinamento02,novo,aberto,
0003465,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,deus8301,novo,aberto,
0003464,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,deus9551,novo,aberto,
0003463,Desafio jMeter Project 1,Treinamento13,,normal,travamento,sempre,,a,2020-01-25,,,,público,2020-01-25,Sistema trava ao emitir relatório,novo,aberto,
0003462,Desafio jMeter Project 1,Treinamento08,,normal,recurso,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Prática,novo,aberto,
0003461,Desafio jMeter Project 1,Treinamento13,,normal,travamento,sempre,,a,2020-01-25,,,,público,2020-01-25,Sistema trava ao emitir relatório,novo,aberto,
0003460,Desafio jMeter Project 1,Treinamento05,,normal,obstáculo,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Teste de preencher o resumo de teste base 2,novo,aberto,
0003459,Desafio jMeter Project 1,Treinamento01,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,teste,novo,aberto,
0003458,Desafio jMeter Project 1,Treinamento11,emanuelle.menali,normal,obstáculo,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Resumo do chamado - Teste Treinamento 11 java.util.Random@437da279,atribuído,aberto,
0003457,Desafio jMeter Project 1,Treinamento04,,normal,texto,sempre,,HA8264LR,2020-01-25,,,,público,2020-01-25,preenchendo o resumo da pagina,novo,aberto,
0003456,Desafio jMeter Project 1,Treinamento13,,normal,travamento,sempre,,a,2020-01-25,,,,público,2020-01-25,Sistema trava ao emitir relatório,novo,aberto,
0003455,Desafio jMeter Project 1,Treinamento01,,normal,recurso,às vezes,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Teste 01,novo,aberto,
0003454,Desafio jMeter Project 1,Treinamento14,emanuelle.menali,normal,grande,sempre,,Teste,2020-01-25,,,,público,2020-01-25,This is a summary.,atribuído,aberto,
0003453,Desafio jMeter Project 1,Treinamento01,,normal,recurso,às vezes,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Teste 01,novo,aberto,
0003452,Desafio jMeter Project 1,Treinamento13,,normal,travamento,sempre,,a,2020-01-25,,,,público,2020-01-25,Sistema trava ao emitir relatório,novo,aberto,
0003451,Desafio jMeter Project 1,Treinamento14,emanuelle.menali,normal,grande,sempre,,Teste,2020-01-25,,,,público,2020-01-25,This is a summary.,atribuído,aberto,
0003450,Desafio jMeter Project 1,Treinamento05,,normal,obstáculo,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Teste de preencher o resumo de teste base 2,novo,aberto,
0003449,Desafio jMeter Project 1,Treinamento08,,normal,recurso,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Prática,novo,aberto,
0003448,Desafio jMeter Project 1,Treinamento07,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Treinamento Selenium,novo,aberto,
0003447,Desafio jMeter Project 1,Treinamento13,,normal,travamento,sempre,,a,2020-01-25,,,,público,2020-01-25,Sistema trava ao emitir relatório,novo,aberto,
0003446,Desafio jMeter Project 1,Treinamento08,,normal,recurso,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Prática,novo,aberto,
0003445,Desafio jMeter Project 1,Treinamento11,emanuelle.menali,normal,obstáculo,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Resumo do chamado - Teste Treinamento 11 java.util.Random@437da279,atribuído,aberto,
0003444,Desafio jMeter Project 1,Treinamento14,emanuelle.menali,normal,grande,sempre,,Teste,2020-01-25,,,,público,2020-01-25,This is a summary.,atribuído,aberto,
0003443,Desafio jMeter Project 1,Treinamento06,emanuelle.menali,normal,pequeno,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Treinamento Teste,atribuído,aberto,
0003442,Desafio jMeter Project 1,Treinamento05,,normal,obstáculo,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Teste de preencher o resumo de teste base 2,novo,aberto,
0003441,Desafio jMeter Project 1,Treinamento04,,normal,texto,sempre,,HA8264LR,2020-01-25,,,,público,2020-01-25,preenchendo o resumo da pagina,novo,aberto,
0003440,Desafio jMeter Project 1,Treinamento07,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Treinamento Selenium,novo,aberto,
0003439,Desafio jMeter Project 1,Treinamento13,,normal,travamento,sempre,,a,2020-01-25,,,,público,2020-01-25,Sistema trava ao emitir relatório,novo,aberto,
0003438,Desafio jMeter Project 1,Treinamento07,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Treinamento Selenium,novo,aberto,
0003437,Desafio jMeter Project 1,Treinamento10,,normal,trivial,aleatório,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Treinamento10,novo,aberto,
0003436,Desafio jMeter Project 1,Treinamento03,,normal,texto,sempre,,General,2020-01-25,,,,público,2020-01-25,Pratica Final 54395,novo,aberto,
0003435,Desafio jMeter Project 1,Treinamento06,emanuelle.menali,normal,pequeno,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Treinamento Teste,atribuído,aberto,
0003434,Desafio jMeter Project 1,Treinamento05,,normal,obstáculo,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Teste de preencher o resumo de teste base 2,novo,aberto,
0003433,Desafio jMeter Project 1,Treinamento01,,normal,recurso,às vezes,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Teste 01,novo,aberto,
0003432,Desafio jMeter Project 1,Treinamento08,,normal,recurso,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Prática,novo,aberto,
0003431,Desafio jMeter Project 1,Treinamento03,,normal,texto,sempre,,General,2020-01-25,,,,público,2020-01-25,Pratica Final 86819,novo,aberto,
0003430,Desafio jMeter Project 1,Treinamento09,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,0339471220,novo,aberto,
0003429,Desafio jMeter Project 1,Treinamento03,,normal,texto,sempre,,General,2020-01-25,,,,público,2020-01-25,Pratica Final 76141,novo,aberto,
0003428,Desafio jMeter Project 1,Treinamento09,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,5637022263,novo,aberto,
0003427,Desafio jMeter Project 1,Treinamento12,emanuelle.menali,normal,recurso,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Teste Praticojava.util.Random@3b6ddd1d,atribuído,aberto,
0003426,Desafio jMeter Project 1,Treinamento11,emanuelle.menali,normal,obstáculo,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Resumo do chamado - Teste Treinamento 11java.util.Random@437da279,atribuído,aberto,
0003425,Desafio jMeter Project 1,Treinamento03,,normal,texto,sempre,,General,2020-01-25,,,,público,2020-01-25,Prática Final 96596,novo,aberto,
0003424,Desafio jMeter Project 1,Treinamento03,,normal,texto,sempre,,General,2020-01-25,,,,público,2020-01-25,Prática Final 52415,novo,aberto,
0003423,Desafio jMeter Project 1,Treinamento08,,normal,recurso,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Prática,novo,aberto,
0003422,Desafio jMeter Project 1,Treinamento04,,normal,texto,sempre,,HA8264LR,2020-01-25,,,,público,2020-01-25,preenchendo o resumo da pagina,novo,aberto,
0003421,Desafio jMeter Project 1,Treinamento13,,normal,travamento,sempre,,a,2020-01-25,,,,público,2020-01-25,Sistema trava ao emitir relatório,novo,aberto,
0003420,Desafio jMeter Project 1,Treinamento10,,normal,trivial,aleatório,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Treinamento10,novo,aberto,
0003419,Desafio jMeter Project 1,Treinamento11,emanuelle.menali,normal,obstáculo,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Resumo do chamado - Teste Treinamento 11,atribuído,aberto,
0003418,Desafio jMeter Project 1,Treinamento11,emanuelle.menali,normal,obstáculo,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Resumo do chamado - Teste Treinamento 11,atribuído,aberto,
0003417,Desafio jMeter Project 1,Treinamento11,emanuelle.menali,normal,obstáculo,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Resumo do chamado - Teste Treinamento 11,atribuído,aberto,
0003416,Desafio jMeter Project 1,Treinamento09,,normal,trivial,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,5889581378,novo,aberto,
0003415,Desafio jMeter Project 1,Treinamento10,,normal,trivial,aleatório,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Treinamento10,novo,aberto,
0003414,Desafio jMeter Project 1,Treinamento08,,normal,recurso,sempre,,7EI2PODHPN,2020-01-25,,,,público,2020-01-25,Prática,novo,aberto,
0003413,Desafio jMeter Project 1,Treinamento14,emanuelle.menali,normal,grande,sempre,,Teste,2020-01-25,,,,público,2020-01-25,This is a summary.,atribuído,aberto,
0003412,Desafio jMeter Project 1,Treinamento12,emanuelle.menali,normal,recurso,sempre,,Teste,2020-01-25,,,,público,2020-01-25,Teste Praticojava.util.Random@3b6ddd1d,atribuído,aberto,
